Операция,ORC x1,Parquet x1
Запись БЕЗ сортировки,188,219
Операция,ORC x1,Parquet x1
Запись С сортировкой,174,220
Операция,ORC x1,Parquet x1
Чтение полного датасета (несортированный),22,51
Операция,ORC x1,Parquet x1
Чтение полного датасета (сортированный),26,63
Операция,ORC x1,Parquet x1
Фильтрация CustomerID IS NOT NULL (несортированный),23,49
Операция,ORC x1,Parquet x1
Фильтрация CustomerID IS NOT NULL (сортированный),24,57
Операция,ORC x1,Parquet x1
Фильтрация FullPrice > 1000 (несортированный),28,49
Операция,ORC x1,Parquet x1
Фильтрация FullPrice > 1000 (сортированный),22,49
Операция,ORC x1,Parquet x1
Сортировка по FullPrice DESC (несортированный),18,40
Операция,ORC x1,Parquet x1
Сортировка по FullPrice DESC (сортированный),17,43
